,genome_name,source,species,resistance_profile,ST,location
SRR27388078,EPNK169,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",519,Thailand:Nong Khai
SRR27388079,EPNK163,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",300,Thailand:Nong Khai
SRR27388080,EPNK158,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",830,Thailand:Nong Khai
SRR27388081,EPNK154,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27388082,EPNK150,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27388083,EPNK146,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",684,Thailand:Nong Khai
SRR27388084,EPNK144,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",70,Thailand:Nong Khai
SRR27388086,EPNK137,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",23,Thailand:Nong Khai
SRR27388087,EPNK131,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",1777,Thailand:Nong Khai
SRR27388088,EPNK128,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",519,Thailand:Nong Khai
SRR27388089,EPNK123,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",206,Thailand:Nong Khai
SRR27388090,EPNK029,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",10,Thailand:Nong Khai
SRR27388091,EPNK025,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",162,Thailand:Nong Khai
SRR27388092,EPNK022,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",203,Thailand:Nong Khai
SRR27388093,EPNK020,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",162,Thailand:Nong Khai
SRR27388094,EPNK019,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",Novel ST,Thailand:Nong Khai
SRR27388095,EPNK018,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",307,Thailand:Nong Khai
SRR27388096,EPNK016,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",93,Thailand:Nong Khai
